transaction_id,customer_id,amount,transaction_date
1,56,10576.73,2026-03-15 20:54:33.526512
2,963,1259.81,2025-08-05 08:41:19.948622
3,812,2572.39,2026-05-26 20:37:23.513497
4,771,1366.76,2025-06-02 04:36:57.187354
5,793,1131.03,2026-04-29 03:48:54.034183
6,939,1056.3,2025-10-04 12:26:02.703044
7,483,1404.88,2026-03-04 20:21:35.030829
8,200,914.24,2026-01-01 17:42:06.995667
9,553,2762.8,2025-11-28 00:59:23.226489
10,730,4147.27,2025-08-15 01:22:35.061707
11,722,4289.2,2026-01-11 20:33:17.044994
12,457,516.76,2025-12-11 01:58:18.916508
13,41,4524.98,2025-10-28 07:53:52.671245
14,350,,2026-05-06 01:55:35.384658
15,936,740.12,2026-03-01 16:14:27.891148
16,521,2594.78,2025-08-02 01:34:21.009976
17,483,726.81,2026-05-11 17:34:56.578796
18,229,108.84,2025-06-04 07:37:54.908087
19,347,935.59,2026-03-24 21:31:55.621496
20,908,2556.43,2025-10-13 05:30:14.189117
21,595,791.9,2025-06-28 12:58:58.257346
22,760,1986.12,2025-10-23 04:04:51.583867
23,415,2158.32,2025-06-18 18:14:40.707453
24,570,2646.53,2025-11-16 05:31:16.316684
25,200,4548.59,2025-11-22 10:58:01.578037
26,670,1133.26,2025-11-12 06:25:47.310156
27,389,,2026-03-27 01:45:28.592845
28,412,768.17,2026-01-17 15:28:25.191068
29,577,1131.86,2025-06-23 12:39:46.479850
30,942,2502.77,2025-10-17 15:51:53.953876
31,39,26.42,2025-12-05 15:23:12.565312
32,793,758.97,2025-06-02 01:56:18.613834
33,243,3026.82,2026-02-14 08:52:43.181844
34,415,,2026-01-31 18:06:36.254330
35,1,,2026-04-24 08:02:59.780200
36,255,3340.61,2025-10-10 15:42:50.028340
37,437,3057.89,2025-10-28 13:58:58.841471
38,31,2292.56,2025-07-28 03:45:18.299577
39,415,1158.43,2026-04-16 22:10:50.180408
40,939,8220.74,2025-07-23 12:49:38.798732
41,98,1683.63,2026-01-12 21:16:25.546330
42,740,453.22,2026-05-05 02:16:47.573873
43,369,692.92,2026-03-26 22:20:56.034393
44,577,2365.48,2026-03-06 20:29:43.182207
45,220,5173.6,2025-11-27 08:44:15.320745
46,195,393.78,2026-05-10 04:13:19.076450
47,198,171.87,2026-02-03 19:14:22.825011
48,47,4266.21,2025-12-11 09:44:36.802446
49,200,4936.76,2025-11-05 01:23:56.877262
50,592,646.98,2025-09-30 15:55:35.922411
51,893,947.33,2026-05-20 06:50:21.895653
52,787,2158.73,2025-08-08 09:50:32.641896
53,619,800.75,2026-05-08 16:09:32.428555
54,103,4193.72,2025-06-22 08:09:24.238985
55,240,227.63,2025-12-01 11:22:28.640650
56,271,77.44,2026-03-25 14:31:21.078191
57,200,467.62,2025-12-08 18:08:18.969769
58,457,673.99,2026-02-01 12:24:56.774690
59,481,239.66,2025-08-04 23:58:50.240230
60,332,135.89,2025-07-27 18:42:35.465014
61,331,2817.96,2025-06-05 15:40:16.211783
62,795,358.92,2025-11-02 08:10:34.165140
63,760,4905.01,2025-07-25 21:34:24.137699
64,267,917.73,2026-05-29 01:23:59.364621
65,930,2221.0,2025-11-28 00:49:02.670930
66,963,510.82,2025-06-08 03:17:07.779118
67,293,549.72,2025-06-18 14:25:31.733539
68,331,1709.96,2025-09-30 23:29:33.165980
69,442,1644.89,2026-05-10 13:50:35.745160
70,949,2928.33,2026-01-26 10:18:45.328840
71,886,2836.09,2025-07-17 15:15:28.098243
72,92,2221.5,2025-10-25 20:16:09.676933
73,365,1192.51,2026-03-15 02:07:33.087366
74,483,4426.23,2026-05-23 14:18:54.359045
75,439,1948.79,2025-09-30 05:34:30.766112
76,200,9250.44,2025-08-31 13:02:00.313647
77,835,3422.61,2026-04-08 23:10:47.390634
78,611,90.64,2026-05-16 02:22:18.618829
79,810,773.07,2025-08-26 18:39:41.016340
80,834,1696.68,2025-08-08 20:40:05.444131
81,733,2556.46,2025-11-04 03:00:46.460131
82,403,1598.51,2025-09-08 06:10:55.544393
83,543,3084.78,2025-06-24 03:55:04.190778
84,198,664.4,2025-12-15 05:04:45.460688
85,605,406.47,2026-02-13 04:42:23.664026
86,200,110.85,2025-07-29 03:00:48.240595
87,640,1703.41,2025-12-10 15:32:55.818894
88,200,2333.35,2026-02-19 16:26:46.852586
89,117,789.49,2026-03-15 07:27:40.029702
90,200,1901.68,2026-05-03 07:35:03.252924
91,1,107.13,2025-12-29 12:18:23.813704
92,705,209.15,2025-07-22 02:11:48.357985
93,711,2419.68,2025-05-30 14:07:21.288194
94,457,917.95,2026-03-12 10:55:30.239417
